State	Electoral_Votes	Population	Total_Area	Water_Area	Land_Area	Density
Alabama	9	4447100	52419.02	1675.01	50744.00	87.6
Alaska	3	626932	663267.26	91316.00	571951.26	1.1
Arizona	10	5130632	113998.30	363.73	113634.57	45.2
Arkansas	6	2673400	53178.62	1110.45	52068.17	51.3
California	55	33871648	163695.57	7736.23	155959.34	217.2
Colorado	9	4301261	104093.57	376.04	103717.53	41.5
Connecticut	7	3405565	5543.33	698.53	4844.80	702.9
Delaware	3	783600	2489.27	535.71	1953.56	401.1
District of Columbia	3	572059	68.34	6.94	61.4	9316.9
Florida	27	15982378	65754.59	11827.77	53926.82	296.4
Georgia	15	8186453	59424.77	1518.63	57906.14	141.4
Hawaii	4	1211537	10930.98	4508.36	6422.62	188.6
Idaho	4	1293953	83570.08	822.87	82747.21	15.6
Illinois	21	12419293	57914.38	2330.79	55583.58	223.4
Indiana	11	6080485	36417.73	550.83	35866.90	169.5
Iowa	7	2926324	56271.55	402.2	55869.36	52.4
Kansas	6	2688418	82276.84	461.96	81814.88	32.9
Kentucky	8	4041769	40409.02	680.85	39728.18	101.7
Louisiana	9	4468976	51839.70	8277.85	43561.85	102.6
Maine	4	1274923	35384.65	4523.10	30861.55	41.3
Maryland	10	5296486	12406.68	2632.86	9773.82	541.9
Massachusetts	12	6349097	10554.57	2714.55	7840.02	809.8
Michigan	17	9938444	96716.11	39912.28	56803.82	175.0
Minnesota	10	4919479	86938.87	7328.79	79610.08	61.8
Mississippi	6	2844658	48430.19	1523.24	46906.96	60.6
Missouri	11	5595211	69704.31	818.39	68885.93	81.2
Montana	3	902195	147042.40	1489.96	145552.43	6.2
Nebraska	5	1711263	77353.73	481.31	76872.41	22.3
Nevada	5	1998257	110560.71	734.71	109825.99	18.2
New Hampshire	4	1235786	9349.94	381.84	8968.10	137.8
New Jersey	15	8414350	8721.30	1303.96	7417.34	1134.4
New Mexico	5	1819046	121589.48	233.96	121355.53	15.0
New York	31	18976457	54556.00	7342.22	47213.79	401.9
North Carolina	15	8049313	53818.51	5107.63	48710.88	165.2
North Dakota	3	642200	70699.79	1723.86	68975.93	9.3
Ohio	20	11353140	44824.90	3876.53	40948.38	277.3
Oklahoma	7	3450654	69898.19	1231.13	68667.06	50.3
Oregon	7	3421399	98380.64	2383.85	95996.79	35.6
Pennsylvania	21	12281054	46055.24	1238.63	44816.61	274.0
Rhode Island	4	1048319	1545.05	500.12	1044.93	1003.2
South Carolina	8	4012012	32020.20	1910.73	30109.47	133.2
South Dakota	3	754844	77116.49	1231.85	75884.64	9.9
Tennessee	11	5689283	42143.27	926.15	41217.12	138.0
Texas	34	20851820	268580.82	6783.70	261797.12	79.6
Utah	5	2233169	84898.83	2755.18	82143.65	27.2
Vermont	3	608827	9614.26	364.7	9249.56	65.8
Virginia	13	7078515	42774.20	3180.13	39594.07	178.8
Washington	11	5894121	71299.64	4755.58	66544.06	88.6
West Virginia	5	1808344	24229.76	152.03	24077.73	75.1
Wisconsin	10	5363675	65497.82	11187.72	54310.10	98.8
Wyoming	3	493782	97813.56	713.16	97100.40	5.1
